name
Luciano Ramalho
Osvaldo Santana Neto
David Beazley
Chetan Giridhar
Brian K. Jones
J.K Rowling
William Shakespeare
Agatha Christie
Barbara Cartland
Danielle Steel
Harold Robbins
Georges Simenon
Enid Blyton
Sidney Sheldon
Gilbert Patten
Dr. Seuss
Eiichiro Oda
Leo Tolstoy
Jackie Collins
Horatio Alger
R. L. Stine
Dean Koontz
Nora Roberts
Alexander Pushkin
Stephen King
Paulo Coelho
Jeffrey Archer
Louis LAmour
Erle Stanley Gardner
Edgar Wallace
Jin Yong
Janet Dailey
Robert Ludlum
Akira Toriyama
Osamu Tezuka
James Patterson
Stan and Jan Berenstain
Roald Dahl
John Grisham
Zane Grey
Irving Wallace
J. R. R. Tolkien
Masashi Kishimoto
Karl May
Carter Brown
Mickey Spillane
C. S. Lewis
Kyotaro Nishimura
Mitsuru Adachi
Rumiko Takahashi
Gosho Aoyama
Dan Brown
Ann M. Martin
Arthur Hailey
Beatrix Potter
Michael Crichton
Richard Scarry
Clive Cussler
Alistair MacLean
Ken Follett
Astrid Lindgren
Debbie Macomber
EL James
Tite Kubo
Eiji Yoshikawa
Catherine Cookson
Stephenie Meyer
Norman Bridwell
David Baldacci
Nicholas Sparks
Hirohiko Araki
Evan Hunter
Andrew Neiderman
Roger Hargreaves
Anne Rice
Robin Cook
Wilbur Smith
Erskine Caldwell
Judith Krantz
Eleanor Hibbert
Lewis Carroll
Denise Robins
Cao Xueqin
Ian Fleming
Hermann Hesse
Rex Stout
Anne Golon
Frank G. Slaughter
Edgar Rice Burroughs
John Creasey
James A. Michener
Yasuo Uchida
Seiichi Morimura
Mary Higgins Clark
Penny Jordan
Patricia Cornwell
